"COD","Deptos","cod_mun","Municipio","Año","Tasa Natalidad","# nacimientos","Tasa fecundidad gral","Mujer 15 a 49 años","Mujer 10 a 49 años","% mujeres madres o embarazadas","% parto inst","Ncv 4 CPN","% ncv 4 CPN","Mujeres gestantes Sifilis","Proporción mujeres Sifilis dx y Tratadas < 17 sem","Muertes maternas","Razón Mortalidad materna","Mujeres embarazadas 10 a 19 años","% Mujeres embarazadas 10 a 19 años","Mujeres embarazadas 15 a 19 años","% Mujeres embarazadas 15 a 19 años","Tasa fecundidad adolescentes","Nacidos vivos peso <2500 gr","% Nacidos vivos peso <2500 gr","Nacidos vivos peso >=2500 gr a 37 sem","% Nacidos vivos peso >2500 gr 37 sem","Nacidos vivos de mujeres de 10 a 14 años","% Nacidos vivos de mujeres de 10 a 14 años","Muertes","TM general","Muerte Enfermedad Transmisibles","TM trasmisibles","Muertes por Neoplasias","Tasa Mortalidad por Neoplasias","Muerte Enfermedades Cerebro Vasculares","Tasa de Mortalidad por  Enfermedades Cerebro Vasculares","Muerte Causa externa","TM Causa externa","Muerte <5años","TM Niñez (<5años)","Muerte <1años","Tasa de Mortalidad Infantil (<1años)","Muerte Infección Respiratoria Aguda  <5años","Tasa de Mortalidad por Infección Respiratoria Aguda (<5años)","Muerte Tumor de Cuello de Útero","Tasa de Mortalidad por Tumor de cuello de Útero","Muerte Tumor de Estomago","Tasa de Mortalidad Tumor Estómago","Muerte Tumor de Próstata","Tasa de Mortalidad Tumor Próstata","Casos prevalentes VIH","Prevalencia VIH/SIDA","Prevalencia VIH/SIDA 15 a 49 años","Casos nuevos VIH-SIDA","Incidencia VIH/SIDA","Muertes VIH-SIDA","TM VIH/SIDA","Casos nuevos Tuberculosis","Tasa Incidencia Tuberculosis","Tasa de Mortalidad por Tuberculosis","Tasa Hospitalización Tuberculosis","Usuario Tuberculosis Multidrogorresistente","Proporción Tuberculosis Multidrogorresistente","% Curación TB pulmonar","Incidencia Lepra","% Curación Lepra","Incidencia Dengue grave","Incidencia Dengue","Muerte Dengue","Letalidad Dengue","Casos Sifilis congénita","Tasa Iincidencia Sifilis Congenita","Casos Sifilis gestacional","Tasa Incidencia Sifilis gestacional","Casos Rabia humana","Casos diabetes mellitus","Tasa Mortalidad Diabetes","Cáncer mama","Tasa Mortalidad Cáncer mama","Niños <1 año con 3 dosis DPT","Cobertura 3 dosis DPT <1 año","Niños <1 año con 3 dosis Polio","Cobertura 3 dosis Polio <1 año","Niños <1 año con 3 dosis Pentavalente","Cobertura 3 dosis Pentavalente <1año","Niños vacunados con BCG","Cobertura BCG única dosis","Niños vacunados Triple viral <1 año","Cobertura Triple viral","Niños 1 año vacunados Fiebre amarilla","Cobertura niños 1 año vacunados Fiebre amarilla","Niños <1 año vacunados Rotavirus","Cobertura <1 año vacunados Rotavirus","Niños <1 año  vacunados 2 dosis Neumococo","Cobertura  <1 año  vacunados 2 dosis Neumococo","Niñas >9 años vacunadas VPH","Cobertura Niñas >9 años vacunadas VPH","Indice COP <12 años","> 15 años con Leucemias","Tasa Incidencia Leucemias pediatricas","Tasa Mortalidad Cáncer infántil (<14 años)","Violencia intrafamiliar","Tasa Incidencia Violencia intrafamiliar","Casos violencia sexual <5 años","Tasa violencia sexual <5 años","Casos violencia de genero","Tasa Incidencia Violencia de genero","Casos Violencia >60 años","Tasa Incidencia Violencia >60 años","Casos Violencia < 5 años","Tasa Incidencia Violencia < 5 años","Tasa de mortalidad en < 5 años por EDA","% Nacidos con bajo peso > o = 37 sem","Tasa mortalida perinatal","Tasa fecund. 10-14 años","Tasa fecund. 15-19 años"
"68.001","SANTANDER","68.001","Bucaramanga","2008","18.14","9.457","63.14","149.769","172.174","5.49","99.43","90","89.95","0","0","1","10.57","1.627","17.2","1.627","17.2","68.98","848","8.97","298","3.94","56","0.59","0","0","0","0","0","0","0","0","0","0","103","10.89","97","10.26","2","5.2","26","9.54","80","15.34","34","13.66","0","0","0","84","16","60","12","248","47.56","6.14","6.9","0","0","61.22","1.92","30","97,42","233,59","0","0","10","1.06","45","4.76","0","172","32.99","36","13.21","10.058","134.59","10.058","134.59","10.058","134.59","0","0","9.536","127.61","9.536","127.61","0","0","0","0","0","0","0","0","0","11.11","0","0","0","0","0","0","0","0","0","0","0",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2009","16.85","8.807","59","149.264","171.436","5.14","99.57","90","89.64","0","0","4","45.42","1.675","19.02","1.636","18.58","70.58","737","8.37","227","3.02","46","0.52","0","0","0","0","0","0","0","0","0","0","100","11.35","89","10.11","6","15.77","34","12.45","57","10.9","42","16.81","0","0","0","114","22","53","10","238","45.52","1.91","0","1","0.42","69.17","1.91","60","166,22","427,12","2","0,2","11","1.25","40","4.54","0","157","30.03","50","18.31","9.385","125.54","9.385","125.54","9.385","125.54","0","0","10.122","135.39","10.06","134.56","6.699","89.61","353","4.72","0","0","0","0","0","10.47","908","173.68","29","329.28","720","263.72","99","167.46","5","10.89","2.63",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2010","16.03","8.402","56.55","148.569","170.459","4.93","99.82","92","91.58","0","0","0","0","1.519","18.08","1.463","17.41","64.07","719","8.56","211","2.82","49","0.58","0","0","0","0","0","0","0","0","0","0","87","10.35","81","9.64","7","18.59","36","13.17","89","16.98","36","14.36","1.898","0.36","0.47","169","32","50","10","210","40.07","4.77","0","0","0","69.17","1.34","100","161,44","1294,20","5","0,6","14","1.67","46","5.47","0","163","31.11","47","17.19","8.948","119.48","8.948","119.48","8.948","119.48","0","100.42","8.928","119.21","8.627","115.2","8.562","114.33","786","10.5","0","0","3.68","0","0","13.9","1.059","202.09","38","452.27","813","297.37","121","199.27","8","17.65","2.66",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2011","16.88","8.866","60.02","147.724","169.288","5.24","97.99","92","92.32","0","0","5","56.4","1.745","19.68","1.653","18.64","73.27","732","8.26","69","0.93","46","0.52","0","0","0","0","0","0","0","0","0","0","69","7.78","57","6.43","4","10.76","15","5.48","74","14.09","29","11.53","2.056","0.39","0.51","168","32","52","10","285","54.27","2.09","0","2","0.7","66.07","1.52","75","3,43","143,40","2","11,1","10","1.13","53","5.97","0","92","17.52","32","11.69","9.358","127.11","9.328","126.7","9.357","127.1","10.343","140.49","9.319","125.32","9.398","126.39","9.901","134.49","9.935","134.95","0","0","2.47","7","5.81","8.3","1.815","345.64","56","631.63","1.284","469.13","342","548.94","34","76.05","0",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2012","17.38","9.142","62.31","146.727","167.894","5.45","99.84","92","91.81","0","7.81","5","54.69","1.86","20.35","1.766","19.32","79.1","752","8.23","104","1.42","48","0.53","3.159","600.51","285","54.18","665","126.41","938","178.31","305","57.98","81","8.86","68","7.44","7","19.09","19","6.94","88","16.73","39","15.47","2.248","0.43","0.57","200","38","44","8","249","47.33","3.99","16.73","2","0.8","63.92","1.9","90","3,99","283,81","1","4,8","5","0.55","64","7","0","143","27.18","39","14.24","8.495","115.91","8.494","115.9","8.495","115.91","10.157","138.59","9.059","124.08","9.099","124.63","9.832","134.15","10.282","140.29","3.817","99.3","2.49","10","8.43","4.22","1.609","305.86","43","470.36","1.068","389.89","271","423.62","256","580.58","2.73",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2013","17.65","9.299","63.86","145.626","166.345","5.59","99.88","93","93.46","5","36.07","1","10.75","1.775","19.09","1.731","18.61","78.1","745","8.01","136","1.9","44","0.47","3.474","659.42","341","64.73","789","149.76","1.031","195.7","292","55.43","100","10.75","91","9.79","2","5.54","20","7.3","103","19.55","50","19.78","2.378","0.45","0.61","138","26","33","6","241","45.75","3.8","17.65","2","0.83","65.93","1.71","77.78","7,97","808,80","2","4,8","8","0.86","61","6.56","0","126","23.92","61","22.26","10.75","150.03","10.745","149.97","10.766","150.26","11.209","156.44","10.292","143.52","10.292","143.52","10.263","143.24","9.555","133.36","23.183","91.18","1.98","10","8.57","8.57","1.362","258.53","48","518.41","791","288.61","317","482.49","317","729.32","0",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2014","17.87","9.423","65.22","144.476","164.723","5.72","99.86","93","93.34","22","29.63","1","10.61","1.617","17.16","1.563","16.59","71.35","715","7.59","122","1.74","54","0.57","3.165","600.06","262","49.67","738","139.92","977","185.23","261","49.48","98","10.4","96","10.19","8","22.53","40","14.59","89","16.87","33","13.03","2.521","0.48","0.65","131","25","38","7","200","37.92","3.6","12.7","3","1.42","53.9","1.52","85.71","8,15","955,73","6","14,0","8","0.85","54","5.73","0","149","28.25","64","23.34","10.281","99.7","10.278","99.67","10.374","100.6","9.703","94.09","10.138","97.63","10.048","96.76","9.608","93.17","9.717","94.23","873","32.87","2.3","9","7.84","6.1","1.197","226.94","29","571.43","695","253.51","323","478.2","398","929.28","0",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2015","18.36","9.693","67.65","143.287","163.085","5.94","99.6","91","91.32","16","26.67","2","20.63","1.621","16.72","1.587","16.37","73.4","756","7.8","137","1.99","34","0.35","3.227","611.27","197","37.32","761","144.15","615","116.5","172","32.58","73","7.53","62","6.42","2","5.73","36","13.13","90","17.05","33","13","2.677","0.51","0.7","60","11","43","8","242","45.84","12.12","10.23","7","2.66","62.22","1.14","33.33","1,89","405,18","3","30,0","7","0.72","45","4.64","0","140","26.52","61","22.25","8.711","84.56","8.77","85.13","8.761","85.04","9.056","87.91","8.209","93.98","5.772","66.08","4.688","45.51","4.582","44.48","621","8.04","2.12","0","0","0","1.901","360.1","0","0","0","0","0","0","522","1,237.32","2.86",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2016","13.51","7.139","44.2","161.533","321.707","2.22","0","0","0","12","11.76","4","42.02","1.096","15.35","1.064","14.9","49.96","575","8.05","144","2.16","32","0.45","1.435","271.64","143","27.07","939","177.75","424","80.26","79","14.95","35","4.9","29","6.37","2","5.82","17","6.2","47","8.9","29","11.41","2.737","0.52","0.74","60","11","13","2","118","22.34","1.33","6.06","7","4.05","0","0.95","100","2,65","399,99","3","21,4","5","0.54","41","5.74","0","0","0","26","9.48","9.39","91.1","9.436","91.6","9.39","91.1","9.842","95.5","9.519","95.9","7.06","71.1","9.543","92.6","9.646","93.6","0","0","2.58","0","0","0","0","0","0","0","0","0","0","0","0","0","2.91",,,,
"68.001","SANTANDER","68.001","Bucaramanga","2017","14.6","7.739","54.9","140.877","160.034","5.1","100","7.239","93.5","54","59","3","31.33","1.284","3.2","1.247","5.9","22.1","619","7.9","841","10.9","37","0.5","3.511","664","152","29","749","141.7","223","42.19","273","52","117","15","94","12",,"14.78","38","14","112","21.19","56","22","1.482","0.28","0.48","242","4.57","14","2.64","267","50.52","7.75","56.28","8","2.99","48.7","2.46","22.36","0,19","77,39","0","0","2","0.21","27","5.82","0","178","59.79","64","23.3","8.73","82.7","8.626","81.7","8.73","82.7","9.557","90.5","8.682","84","8.126","78.6","8.823","83.5","9.056","85.7","2.203",,"1.74","4","3.65","5.48","1.052","199.05","59","14.42","1.41","266.79","37","5.02","478","116.88","0",,,,
